id,userID,gameSessionID,questionID,answer,time
25833,2085617431,2,0,0,2022-02-25 11:13:07+00:00
25832,2085617431,2,1,3,2022-02-25 11:12:25+00:00
25831,2085617431,2,3,2,2022-02-25 11:12:17+00:00
25830,2085617431,2,2,1,2022-02-25 11:12:08+00:00
25829,2085617431,2,0,1,2022-02-25 11:12:01+00:00
25828,649772868,19,3,1,2022-03-04 06:59:59+00:00
25827,649772868,19,1,1,2022-03-04 06:59:56+00:00
25826,649772868,19,2,2,2022-03-04 06:59:51+00:00
25825,649772868,19,0,2,2022-03-04 06:59:49+00:00
25824,649772868,19,1,2,2022-03-04 06:59:09+00:00
25823,649772868,19,3,1,2022-03-04 06:59:06+00:00
25822,649772868,19,2,1,2022-03-04 06:59:04+00:00
25821,649772868,19,0,0,2022-03-04 06:59:02+00:00
25820,649772868,19,1,3,2022-03-04 06:58:26+00:00
25819,649772868,19,3,1,2022-03-04 06:58:23+00:00
25818,649772868,19,2,2,2022-03-04 06:58:20+00:00
25817,649772868,19,0,2,2022-03-04 06:58:17+00:00
25816,649772868,19,2,1,2022-03-04 06:57:37+00:00
25815,649772868,19,1,2,2022-03-04 06:57:31+00:00
25814,649772868,19,3,1,2022-03-04 06:57:28+00:00
25813,649772868,19,0,1,2022-03-04 06:57:25+00:00
25812,628825449,8,0,0,2021-12-22 21:36:21+00:00
25811,628825449,8,1,3,2021-12-22 21:35:44+00:00
25810,628825449,8,2,1,2021-12-22 21:35:39+00:00
25809,628825449,8,3,1,2021-12-22 21:35:36+00:00
25808,628825449,8,0,0,2021-12-22 21:35:32+00:00
25807,628825449,8,2,1,2021-12-22 21:34:55+00:00
25806,628825449,8,3,1,2021-12-22 21:34:48+00:00
25805,628825449,8,1,2,2021-12-22 21:34:41+00:00
25804,628825449,8,0,4,2021-12-22 21:34:26+00:00
25803,628825449,8,1,3,2021-12-22 21:33:39+00:00
25802,628825449,8,3,1,2021-12-22 21:33:33+00:00
25801,628825449,8,2,1,2021-12-22 21:33:30+00:00
25800,628825449,8,0,0,2021-12-22 21:33:24+00:00
25799,628825449,8,0,0,2021-12-22 21:36:21+00:00
25798,628825449,8,1,3,2021-12-22 21:35:44+00:00
25797,628825449,8,2,1,2021-12-22 21:35:39+00:00
25796,628825449,8,3,1,2021-12-22 21:35:36+00:00
25795,628825449,8,0,0,2021-12-22 21:35:32+00:00
25794,628825449,8,2,1,2021-12-22 21:34:55+00:00
